,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,roledepartament,remotework
441,28,No,non-travel,419.5,research & development,36,3,desconocido,1,442,3,True,52.4,2,1,laboratory technician,1,divorced,3388.33,8809.67,1,No,11,3.0,1,full time,2,7.0,3,3.0,7,0,7,3388.33,1996,40660.0,laboratory technician  -  research & development,True
442,46,No,travel_rarely,556.3,desconocido,2,2,desconocido,1,443,4,False,69.5,2,2,manufacturing director,4,divorced,4492.84,11681.39,1,Desconocido,19,3.0,1,full time,2,10.0,3,3.0,10,3,9,4492.84,1978,,desconocido,False
443,45,No,non-travel,556.3,desconocido,1,5,desconocido,1,444,1,True,69.5,3,2,human resources,4,married,4492.84,11681.39,4,Yes,11,3.0,3,full time,0,14.0,3,3.0,10,0,2,4492.84,1979,,desconocido,True
444,26,No,non-travel,537.1,desconocido,2,1,life sciences,1,445,4,True,67.1,4,2,manufacturing director,3,divorced,4338.33,11279.67,1,Desconocido,17,3.0,3,part time,2,7.0,6,3.0,7,0,7,4338.33,1998,52060.0,desconocido,False
445,50,No,non-travel,1582.8,desconocido,1,3,desconocido,1,446,3,True,197.8,3,4,manager,3,single,12783.92,33238.2,4,Desconocido,14,3.0,1,full time,0,23.0,2,3.0,8,0,0,12783.92,1974,153407.07,desconocido,True
446,49,Yes,travel_frequently,273.9,desconocido,7,2,desconocido,1,447,4,False,34.2,3,1,sales representative,3,desconocido,2212.5,5752.5,2,Desconocido,11,,3,full time,2,19.0,3,3.0,9,7,7,2212.5,1975,,desconocido,True
447,27,No,non-travel,265.2,desconocido,7,3,medical,1,448,4,True,33.1,3,1,laboratory technician,4,desconocido,2141.67,5568.33,1,No,20,4.0,3,part time,0,7.0,5,3.0,7,5,7,2141.67,1997,25700.0,desconocido,False
448,45,No,travel_rarely,1032.5,desconocido,2,3,life sciences,1,449,3,False,129.1,4,3,healthcare representative,4,desconocido,8339.32,21682.23,1,Desconocido,19,,2,part time,1,,2,3.0,8,6,7,8339.32,1979,100071.84,desconocido,False
449,37,No,non-travel,464.5,desconocido,2,4,desconocido,1,450,3,False,58.1,3,2,sales representative,4,single,3751.67,9754.33,3,Desconocido,15,,3,part time,0,17.0,2,2.0,13,6,7,3751.67,1987,45020.0,desconocido,True
450,47,No,non-travel,556.3,research & development,13,4,desconocido,1,451,3,True,69.5,3,2,healthcare representative,2,single,4492.84,11681.39,6,No,14,3.0,4,part time,0,19.0,3,3.0,10,0,9,4492.84,1977,53914.11,healthcare representative  -  research & development,True
451,36,No,non-travel,556.3,desconocido,27,4,life sciences,1,452,4,True,69.5,3,2,manufacturing director,3,married,4492.84,11681.39,2,Desconocido,16,3.0,2,part time,1,17.0,3,3.0,7,0,7,4492.84,1988,53914.11,desconocido,True
452,31,No,travel_frequently,512.6,desconocido,2,4,desconocido,1,453,4,False,64.1,2,1,research scientist,1,desconocido,4140.0,10764.0,0,Desconocido,16,3.0,4,full time,0,10.0,2,,9,0,7,4140.0,1993,49680.0,desconocido,False
453,31,No,non-travel,1032.5,desconocido,15,2,marketing,1,454,3,True,129.1,2,3,sales executive,1,desconocido,8339.32,21682.23,2,No,11,3.0,1,part time,1,,2,3.0,7,1,7,8339.32,1993,100071.84,desconocido,False
454,34,No,non-travel,531.0,desconocido,2,3,marketing,1,455,4,False,66.4,3,2,sales executive,2,desconocido,4289.17,11151.83,8,No,15,3.0,4,part time,0,13.0,2,2.0,11,1,7,4289.17,1990,51470.0,desconocido,True
455,33,No,non-travel,280.4,desconocido,5,4,desconocido,1,456,2,True,35.1,3,1,research scientist,2,single,2265.0,5889.0,2,No,14,3.0,2,part time,0,12.0,3,3.0,7,0,7,2265.0,1991,27180.0,desconocido,False
456,44,No,travel_rarely,365.1,desconocido,2,3,life sciences,1,457,2,True,45.6,3,1,human resources,4,desconocido,2949.17,7667.83,0,No,13,3.0,2,full time,0,,5,3.0,9,1,8,2949.17,1980,,desconocido,False
457,32,No,travel_rarely,564.2,desconocido,29,4,marketing,1,458,1,False,70.5,2,2,sales executive,4,desconocido,4556.67,11847.33,1,Desconocido,14,3.0,1,full time,2,,3,3.0,12,5,7,4556.67,1992,54680.0,desconocido,False
458,36,Yes,non-travel,599.8,desconocido,27,3,desconocido,1,459,3,True,75.0,3,2,sales executive,4,desconocido,4844.17,12594.83,1,Desconocido,18,3.0,4,full time,0,,2,3.0,10,7,7,4844.17,1988,,desconocido,False
459,36,No,non-travel,556.3,research & development,2,2,medical,1,460,2,True,69.5,3,2,manufacturing director,4,divorced,4492.84,11681.39,2,No,14,3.0,3,full time,1,15.0,6,3.0,7,1,7,4492.84,1988,53914.11,manufacturing director  -  research & development,True
460,31,No,non-travel,997.4,desconocido,10,3,medical,1,461,1,False,124.7,3,3,manufacturing director,3,single,8055.83,20945.17,9,No,14,3.0,2,part time,0,9.0,3,3.0,7,0,2,8055.83,1993,96670.0,desconocido,False
461,47,Yes,travel_rarely,556.3,desconocido,19,2,medical,1,462,4,False,69.5,3,2,healthcare representative,2,married,4492.84,11681.39,4,No,22,4.0,4,full time,1,13.0,2,4.0,9,3,7,4492.84,1977,,desconocido,True
462,46,No,non-travel,531.8,desconocido,2,4,desconocido,1,463,3,False,66.5,3,2,sales executive,3,married,,11167.0,4,Desconocido,22,4.0,2,part time,2,10.0,3,4.0,8,5,7,,1978,51540.0,desconocido,False
463,44,No,travel_frequently,585.5,desconocido,2,4,life sciences,1,464,1,True,73.2,3,2,sales executive,4,married,4729.17,12295.83,1,Desconocido,20,4.0,3,full time,1,7.0,5,3.0,7,7,7,4729.17,1980,56750.0,desconocido,True
464,47,Yes,non-travel,754.6,desconocido,10,3,life sciences,1,465,3,False,94.3,3,3,sales executive,2,desconocido,6095.0,15847.0,5,Desconocido,21,4.0,3,part time,3,14.0,2,3.0,8,0,7,6095.0,1977,73140.0,desconocido,False
465,41,No,travel_rarely,1582.8,research & development,1,4,desconocido,1,466,1,True,197.8,3,4,manager,1,desconocido,12783.92,33238.2,2,Desconocido,11,3.0,1,full time,1,22.0,3,,19,11,16,12783.92,1983,,manager  -  research & development,True
466,28,No,travel_rarely,556.3,sales,2,2,desconocido,1,467,1,False,69.5,4,2,sales executive,3,single,4492.84,11681.39,0,No,14,3.0,2,part time,0,9.0,5,2.0,8,0,7,4492.84,1996,53914.11,sales executive  -  sales,False
467,43,No,non-travel,1032.5,desconocido,6,3,medical,1,468,3,True,129.1,3,3,research director,1,married,8339.32,21682.23,9,No,13,3.0,2,full time,1,18.0,3,4.0,13,5,7,8339.32,1981,,desconocido,False
468,27,No,travel_frequently,290.0,desconocido,6,3,other,1,469,3,True,36.3,4,1,laboratory technician,4,married,2342.59,6090.75,0,No,18,3.0,1,part time,1,8.0,3,3.0,7,7,7,2342.59,1997,28111.13,desconocido,True
469,29,No,travel_frequently,556.3,desconocido,1,2,life sciences,1,470,3,True,69.5,2,2,sales executive,4,married,,11681.39,1,Desconocido,12,3.0,3,part time,1,7.0,2,3.0,7,0,7,,1995,53914.11,desconocido,True
470,48,No,non-travel,556.3,desconocido,14,4,desconocido,1,471,3,True,69.5,3,2,research scientist,2,married,4492.84,11681.39,8,Desconocido,18,3.0,3,part time,1,,4,4.0,8,1,7,4492.84,1976,53914.11,desconocido,True
471,35,No,travel_rarely,1032.5,desconocido,13,4,medical,1,472,4,True,129.1,3,3,sales executive,3,divorced,8339.32,21682.23,1,No,18,3.0,3,part time,1,9.0,2,2.0,8,1,1,8339.32,1989,100071.84,desconocido,False
472,27,No,non-travel,290.0,research & development,1,3,medical,1,473,3,True,36.3,3,1,laboratory technician,1,single,2342.59,6090.75,0,No,13,3.0,4,part time,0,8.0,6,,7,7,6,2342.59,1997,28111.13,laboratory technician  -  research & development,False
473,28,No,travel_rarely,556.3,desconocido,9,3,desconocido,1,474,4,True,69.5,3,2,sales executive,4,desconocido,,11681.39,1,Desconocido,14,3.0,1,part time,0,,5,,7,0,7,,1996,53914.11,desconocido,True
474,32,Yes,travel_frequently,556.3,sales,26,4,marketing,1,475,1,True,69.5,3,2,sales executive,4,desconocido,4492.84,11681.39,1,Yes,11,3.0,3,part time,0,10.0,4,3.0,10,0,8,4492.84,1992,53914.11,sales executive  -  sales,True
475,34,No,travel_frequently,556.3,desconocido,7,2,life sciences,1,476,4,True,69.5,3,2,healthcare representative,3,divorced,4492.84,11681.39,1,Desconocido,20,,3,full time,3,9.0,2,3.0,9,2,8,4492.84,1990,,desconocido,True
476,32,No,non-travel,1032.5,desconocido,10,3,desconocido,1,477,3,False,129.1,3,3,research director,3,married,8339.32,21682.23,4,No,20,4.0,3,part time,1,13.0,2,4.0,11,4,8,8339.32,1992,100071.84,desconocido,False
477,36,No,non-travel,526.0,desconocido,9,4,medical,1,478,2,True,65.7,3,2,research scientist,3,desconocido,,11045.67,1,No,19,3.0,2,part time,0,10.0,5,3.0,10,0,8,,1988,50980.0,desconocido,False
478,34,No,travel_rarely,556.3,desconocido,15,2,desconocido,1,479,2,False,69.5,3,2,healthcare representative,4,married,4492.84,11681.39,0,Yes,13,,1,part time,1,,6,3.0,9,8,1,4492.84,1990,53914.11,desconocido,True
479,40,No,travel_rarely,556.3,desconocido,24,1,life sciences,1,480,1,True,69.5,3,2,research scientist,4,single,4492.84,11681.39,7,No,13,,1,full time,0,,2,3.0,7,1,7,4492.84,1984,,desconocido,False
480,37,No,travel_rarely,1032.5,desconocido,46,3,desconocido,1,481,4,False,129.1,2,3,sales executive,4,marreid,,21682.23,0,No,19,3.0,3,part time,2,10.0,2,3.0,9,3,4,,1987,100071.84,desconocido,True
481,42,No,travel_rarely,1400.1,desconocido,28,4,life sciences,1,482,1,False,175.0,2,4,manufacturing director,2,married,11308.33,29401.67,0,No,23,,3,full time,1,21.0,3,3.0,20,0,10,11308.33,1982,135700.0,desconocido,True
482,35,No,non-travel,692.5,sales,28,3,marketing,1,483,4,False,86.6,2,2,sales executive,3,married,,14542.67,1,No,21,4.0,4,full time,2,8.0,2,3.0,8,1,7,,1989,67120.0,sales executive  -  sales,False
483,39,No,travel_rarely,556.3,desconocido,10,2,desconocido,1,484,1,False,69.5,3,2,sales executive,4,married,4492.84,11681.39,1,No,11,3.0,3,full time,1,10.0,1,3.0,10,1,9,4492.84,1985,,desconocido,False
484,40,No,travel_rarely,1030.8,desconocido,6,1,desconocido,1,485,4,True,128.9,2,3,healthcare representative,1,desconocido,8325.83,21647.17,4,Desconocido,15,3.0,1,part time,1,,5,3.0,7,1,7,8325.83,1984,99910.0,desconocido,False
485,35,No,travel_rarely,1032.5,desconocido,7,4,desconocido,1,486,1,False,129.1,3,3,research director,2,single,,21682.23,0,No,11,,3,part time,0,,4,3.0,12,2,11,,1989,100071.84,desconocido,True
486,45,No,travel_rarely,1057.3,desconocido,7,4,medical,1,487,1,False,132.2,2,3,healthcare representative,4,married,8540.0,22204.0,3,Desconocido,14,,4,full time,1,24.0,4,3.0,22,5,17,8540.0,1979,102480.0,desconocido,True
487,47,No,non-travel,556.3,desconocido,5,4,desconocido,1,488,1,True,69.5,3,2,sales executive,4,single,4492.84,11681.39,4,Desconocido,21,,3,part time,0,14.0,4,3.0,9,0,8,4492.84,1977,53914.11,desconocido,True
488,42,No,travel_frequently,1582.8,research & development,10,3,life sciences,1,489,4,True,197.8,2,4,manager,1,divorced,,33238.2,4,Desconocido,13,3.0,2,full time,1,,2,2.0,7,7,7,,1982,153407.07,manager  -  research & development,True
489,40,No,non-travel,1128.5,research & development,2,4,desconocido,1,490,3,False,141.1,3,3,healthcare representative,3,single,9115.0,23699.0,0,No,25,4.0,4,full time,0,20.0,1,3.0,19,11,8,9115.0,1984,,healthcare representative  -  research & development,True
490,43,No,travel_rarely,267.5,desconocido,2,3,medical,1,491,4,False,33.4,2,1,laboratory technician,1,divorced,2160.83,5618.17,0,Yes,11,3.0,3,part time,1,10.0,4,3.0,9,7,8,2160.83,1981,25930.0,desconocido,True
491,34,No,travel_frequently,1225.5,research & development,5,4,desconocido,1,492,4,False,153.2,3,3,manager,2,married,9898.33,25735.67,6,Desconocido,11,,2,full time,2,12.0,2,3.0,10,8,8,9898.33,1990,,manager  -  research & development,True
492,36,No,travel_rarely,835.2,desconocido,5,4,technical degree,1,493,3,True,104.4,3,3,manufacturing director,2,single,6745.83,17539.17,0,No,13,3.0,4,part time,0,17.0,5,3.0,16,0,13,6745.83,1988,80950.0,desconocido,False
493,34,Yes,travel_rarely,1032.5,desconocido,15,1,medical,1,494,2,True,129.1,3,3,manager,3,married,,21682.23,7,Desconocido,12,3.0,4,part time,0,15.0,2,4.0,7,7,7,,1990,100071.84,desconocido,True
494,41,No,travel_rarely,1582.8,desconocido,6,3,life sciences,1,495,2,False,197.8,3,4,manufacturing director,3,single,,33238.2,7,No,15,3.0,3,full time,0,22.0,3,3.0,20,5,13,,1983,153407.07,desconocido,False
495,42,No,travel_rarely,1974.0,desconocido,10,4,human resources,1,496,2,True,246.7,2,5,manager,4,divorced,15943.72,41453.67,3,No,15,3.0,2,full time,3,23.0,2,2.0,21,12,6,15943.72,1982,191324.62,desconocido,True
496,28,No,non-travel,556.3,desconocido,7,3,desconocido,1,497,4,False,69.5,2,2,healthcare representative,1,desconocido,,11681.39,8,No,19,3.0,1,part time,0,,2,1.0,7,0,7,,1996,53914.11,desconocido,False
497,53,No,travel_rarely,1739.1,desconocido,3,4,marketing,1,498,3,True,217.4,2,4,manager,1,desconocido,14046.67,36521.33,1,Desconocido,11,3.0,1,full time,0,,3,4.0,34,1,16,14046.67,1971,168560.0,desconocido,True
498,52,No,travel_rarely,1582.8,desconocido,26,4,marketing,1,499,1,False,197.8,3,4,manager,3,married,12783.92,33238.2,2,No,14,3.0,3,full time,1,,2,2.0,20,4,17,12783.92,1972,153407.07,desconocido,False
499,48,No,travel_rarely,468.1,desconocido,2,2,marketing,1,500,3,False,58.5,3,2,sales executive,4,desconocido,3780.83,9830.17,0,Desconocido,22,4.0,1,part time,1,8.0,2,3.0,7,7,7,3780.83,1976,45370.0,desconocido,True
500,51,No,non-travel,1849.3,research & development,2,4,desconocido,1,501,1,True,231.2,3,4,manager,1,divorced,,38835.33,1,Desconocido,11,3.0,4,full time,1,31.0,3,3.0,31,14,7,,1973,179240.0,manager  -  research & development,False
501,36,No,travel_rarely,414.1,research & development,21,1,life sciences,1,502,4,False,51.8,3,2,healthcare representative,4,married,3345.0,8697.0,1,Desconocido,25,4.0,4,part time,1,10.0,2,1.0,10,0,7,3345.0,1988,40140.0,healthcare representative  -  research & development,True
502,40,No,travel_rarely,1314.7,desconocido,1,1,desconocido,1,503,4,False,164.3,2,4,manufacturing director,4,married,10618.33,27607.67,1,No,16,3.0,3,full time,1,,3,3.0,21,11,8,10618.33,1984,127420.0,desconocido,True
503,40,No,travel_frequently,1032.5,desconocido,22,3,medical,1,504,4,False,129.1,3,3,manufacturing director,1,single,8339.32,21682.23,1,Desconocido,13,3.0,3,part time,0,,2,3.0,21,2,8,8339.32,1984,100071.84,desconocido,True
504,42,No,non-travel,348.3,desconocido,7,2,desconocido,1,505,2,False,43.5,4,1,research scientist,3,desconocido,,7314.67,1,No,13,3.0,3,full time,0,,3,3.0,10,0,8,,1982,33760.0,desconocido,False
505,45,Yes,non-travel,1081.5,human resources,1,2,medical,1,506,2,True,135.2,2,3,human resources,1,married,8735.0,22711.0,9,No,14,,4,full time,1,24.0,1,3.0,20,3,6,8735.0,1979,104820.0,human resources  -  human resources,True
506,43,No,non-travel,1582.8,desconocido,2,2,medical,1,507,4,True,197.8,3,4,manager,1,desconocido,12783.92,33238.2,0,No,17,3.0,4,full time,1,23.0,3,3.0,22,13,7,12783.92,1981,,desconocido,False
507,53,No,travel_rarely,1032.5,desconocido,7,4,life sciences,1,508,2,True,129.1,3,3,healthcare representative,2,single,,21682.23,7,Desconocido,19,3.0,4,part time,0,18.0,4,,8,4,0,,1971,100071.84,desconocido,True
508,39,No,non-travel,290.0,desconocido,1,3,desconocido,1,509,3,True,36.3,4,1,human resources,3,desconocido,2342.59,6090.75,1,No,13,3.0,4,part time,1,7.0,2,4.0,7,5,0,2342.59,1985,28111.13,desconocido,False
509,47,No,non-travel,290.0,human resources,1,2,life sciences,1,510,4,False,36.3,3,1,human resources,1,desconocido,,6090.75,6,Desconocido,12,3.0,3,part time,0,10.0,3,4.0,7,5,7,,1977,28111.13,human resources  -  human resources,True
510,36,No,non-travel,438.4,desconocido,4,4,life sciences,1,511,3,True,54.8,3,2,research scientist,3,single,3540.83,9206.17,1,Desconocido,11,3.0,2,part time,0,,3,3.0,9,1,1,3540.83,1988,42490.0,desconocido,False
511,29,No,travel_rarely,675.7,research & development,29,1,life sciences,1,512,3,True,84.5,1,2,manufacturing director,2,married,5457.5,14189.5,1,Desconocido,14,,2,full time,2,8.0,2,2.0,8,1,7,5457.5,1995,,manufacturing director  -  research & development,False
512,45,No,non-travel,1582.8,desconocido,28,3,life sciences,1,513,4,True,197.8,3,4,research director,1,married,12783.92,33238.2,3,No,13,3.0,3,full time,1,,1,4.0,20,14,17,12783.92,1979,,desconocido,False
513,51,No,non-travel,1486.8,desconocido,22,5,desconocido,1,514,3,True,185.9,1,4,research director,4,desconocido,12009.17,31223.83,1,Desconocido,13,3.0,4,full time,0,,2,3.0,32,13,9,12009.17,1973,,desconocido,True
514,56,No,travel_rarely,2020.8,desconocido,23,5,marketing,1,515,3,True,252.6,2,5,manager,4,desconocido,,42436.33,1,No,21,4.0,3,full time,1,36.0,3,3.0,36,2,13,,1968,195860.0,desconocido,False
515,40,No,non-travel,849.8,sales,6,3,desconocido,1,516,4,True,106.2,4,3,sales executive,3,married,6864.17,17846.83,2,No,11,3.0,1,part time,1,11.0,3,3.0,7,7,6,6864.17,1984,82370.0,sales executive  -  sales,True
516,50,No,non-travel,331.3,research & development,13,4,desconocido,1,517,1,False,41.4,3,1,laboratory technician,1,desconocido,2675.83,6957.17,1,Desconocido,14,3.0,4,full time,1,10.0,3,2.0,9,1,4,2675.83,1974,,laboratory technician  -  research & development,True
517,46,No,non-travel,1723.4,desconocido,28,2,technical degree,1,518,4,False,215.4,2,4,research director,2,single,13920.0,36192.0,1,Desconocido,11,,3,full time,0,21.0,2,3.0,21,8,6,13920.0,1978,,desconocido,False
518,47,No,non-travel,1032.5,desconocido,2,3,desconocido,1,519,3,True,129.1,3,3,sales executive,4,desconocido,8339.32,21682.23,4,Desconocido,12,3.0,2,part time,1,,5,2.0,10,0,3,8339.32,1977,100071.84,desconocido,False
519,28,No,non-travel,492.6,desconocido,15,3,desconocido,1,520,4,False,61.6,2,1,research scientist,1,married,,10343.67,0,No,19,3.0,4,full time,1,,2,,7,7,3,,1996,47740.0,desconocido,True
520,43,No,travel_rarely,1974.0,desconocido,2,3,desconocido,1,521,1,True,246.7,3,5,manager,3,married,15943.72,41453.67,5,Desconocido,11,3.0,1,full time,0,24.0,2,2.0,22,4,14,15943.72,1981,,desconocido,False
521,50,No,non-travel,556.3,sales,2,3,desconocido,1,522,4,True,69.5,2,2,sales executive,2,married,,11681.39,2,Desconocido,14,3.0,4,part time,0,17.0,3,2.0,9,0,8,,1974,53914.11,sales executive  -  sales,True
522,30,No,travel_rarely,556.3,desconocido,15,2,life sciences,1,523,4,False,69.5,2,2,laboratory technician,3,single,,11681.39,0,Yes,12,3.0,4,part time,0,10.0,3,3.0,9,0,8,,1994,53914.11,desconocido,True
523,35,No,non-travel,471.3,desconocido,12,4,marketing,1,524,1,True,58.9,3,2,sales executive,3,desconocido,3806.67,9897.33,0,No,20,4.0,3,part time,0,,2,3.0,9,8,7,3806.67,1989,45680.0,desconocido,False
524,38,No,non-travel,618.3,desconocido,1,4,desconocido,1,525,1,True,77.3,2,2,manufacturing director,3,divorced,4994.17,12984.83,1,No,18,3.0,3,full time,1,,2,,7,0,7,4994.17,1986,59930.0,desconocido,False
525,37,No,non-travel,670.5,desconocido,11,3,desconocido,1,526,2,True,83.8,2,2,manufacturing director,2,single,5415.83,14081.17,1,No,13,3.0,3,full time,0,6.0,3,3.0,6,0,3,5415.83,1987,64990.0,desconocido,True
526,46,No,non-travel,356.2,desconocido,29,3,desconocido,1,527,3,True,44.5,3,1,research scientist,4,single,,7479.33,5,Desconocido,13,3.0,2,full time,0,9.0,2,2.0,6,0,3,,1978,34520.0,desconocido,False
527,30,No,travel_rarely,290.0,desconocido,15,3,desconocido,1,528,3,True,36.3,3,1,research scientist,4,desconocido,,6090.75,1,No,19,3.0,1,part time,0,6.0,1,3.0,6,1,5,,1994,28111.13,desconocido,False
528,27,No,non-travel,660.0,desconocido,1,3,desconocido,1,529,3,False,82.5,3,2,manufacturing director,2,desconocido,5330.83,13860.17,1,No,20,4.0,1,full time,1,6.0,6,1.0,6,1,4,5330.83,1997,63970.0,desconocido,False
529,29,No,non-travel,556.3,desconocido,9,4,life sciences,1,530,2,True,69.5,3,2,sales executive,4,single,,11681.39,1,No,16,3.0,4,part time,0,,1,3.0,7,0,7,,1995,53914.11,desconocido,False
530,43,No,travel_frequently,556.3,desconocido,30,4,technical degree,1,531,4,False,69.5,2,2,healthcare representative,4,married,,11681.39,0,No,11,3.0,4,full time,3,7.0,4,4.0,6,0,4,,1981,53914.11,desconocido,True
531,32,No,travel_rarely,556.3,sales,2,1,life sciences,1,532,2,True,69.5,3,2,sales executive,4,desconocido,,11681.39,4,Yes,13,3.0,3,part time,0,10.0,2,4.0,6,0,5,,1992,53914.11,sales executive  -  sales,True
532,38,No,travel_rarely,1032.5,desconocido,47,3,desconocido,1,533,4,False,129.1,3,3,manufacturing director,4,single,8339.32,21682.23,4,Desconocido,17,3.0,4,part time,0,,3,4.0,6,1,2,8339.32,1986,100071.84,desconocido,True
533,38,No,non-travel,1032.5,desconocido,9,4,desconocido,1,534,1,True,129.1,3,3,sales executive,2,divorced,,21682.23,1,No,13,3.0,4,part time,1,9.0,6,3.0,9,7,7,,1986,100071.84,desconocido,True
534,38,No,travel_rarely,556.3,desconocido,1,4,life sciences,1,535,2,False,69.5,3,2,manufacturing director,2,married,4492.84,11681.39,6,Desconocido,12,3.0,2,part time,1,8.0,2,2.0,6,4,3,4492.84,1986,53914.11,desconocido,True
535,25,No,travel_rarely,281.2,desconocido,23,3,medical,1,536,2,True,35.1,4,1,research scientist,4,desconocido,,5904.17,1,Desconocido,11,3.0,2,part time,2,,3,3.0,6,1,4,,1999,27250.0,desconocido,False
536,51,No,non-travel,1974.0,desconocido,3,3,desconocido,1,537,1,True,246.7,3,5,manager,2,married,15943.72,41453.67,1,No,11,3.0,3,full time,1,,2,3.0,32,10,7,15943.72,1973,,desconocido,False
537,35,No,non-travel,373.7,desconocido,1,2,life sciences,1,538,2,True,46.7,2,1,research scientist,4,desconocido,3018.33,7847.67,1,Yes,13,3.0,4,full time,1,6.0,3,3.0,6,1,3,3018.33,1989,36220.0,desconocido,True
538,28,No,travel_frequently,556.3,desconocido,3,1,medical,1,539,4,False,69.5,4,2,sales executive,4,desconocido,,11681.39,1,Desconocido,20,,2,full time,2,,3,3.0,6,0,4,,1996,53914.11,desconocido,True
539,26,No,non-travel,637.6,sales,42,1,desconocido,1,540,4,False,79.7,3,2,sales executive,4,single,,13390.0,1,No,23,4.0,2,full time,0,6.0,5,2.0,6,1,4,,1998,61800.0,sales executive  -  sales,False
540,35,No,non-travel,647.3,sales,25,3,other,1,541,4,True,80.9,3,2,sales executive,4,single,5228.33,13593.67,1,No,22,4.0,3,full time,0,6.0,5,3.0,6,1,4,5228.33,1989,62740.0,sales executive  -  sales,True
541,35,No,non-travel,452.0,research & development,2,4,desconocido,1,542,3,False,56.5,2,1,research scientist,1,desconocido,,9492.17,1,Desconocido,11,,3,full time,0,6.0,3,3.0,6,1,3,,1989,43810.0,research scientist  -  research & development,False
542,36,No,non-travel,1032.5,desconocido,7,3,other,1,543,3,True,129.1,3,3,manufacturing director,3,single,8339.32,21682.23,3,No,21,4.0,2,full time,0,17.0,3,4.0,8,1,6,8339.32,1988,,desconocido,False
543,36,No,non-travel,264.0,desconocido,16,1,medical,1,544,1,False,33.0,2,1,research scientist,1,desconocido,,5544.5,1,Desconocido,11,3.0,4,part time,0,6.0,3,2.0,6,1,1,,1988,25590.0,desconocido,True
544,34,No,non-travel,566.2,research & development,1,4,desconocido,1,545,3,False,70.8,4,2,healthcare representative,2,married,4573.33,11890.67,1,Yes,13,3.0,1,full time,1,,2,3.0,6,1,2,4573.33,1990,54880.0,healthcare representative  -  research & development,True
545,30,No,non-travel,259.4,desconocido,28,4,life sciences,1,546,3,False,32.4,3,1,research scientist,4,divorced,2095.0,5447.0,4,No,22,4.0,1,part time,1,11.0,1,3.0,7,1,7,2095.0,1994,25140.0,desconocido,True
546,30,No,travel_frequently,290.0,research & development,10,3,desconocido,1,547,4,False,36.3,3,1,research scientist,2,divorced,2342.59,6090.75,0,No,14,3.0,4,part time,2,8.0,2,2.0,7,1,1,2342.59,1994,28111.13,research scientist  -  research & development,False
547,35,No,non-travel,556.3,desconocido,9,1,life sciences,1,548,2,False,69.5,3,2,sales executive,3,married,4492.84,11681.39,1,Desconocido,20,4.0,1,part time,0,,3,2.0,6,1,3,4492.84,1989,53914.11,desconocido,True
548,29,No,travel_rarely,329.7,desconocido,19,4,medical,1,549,4,True,41.2,2,1,laboratory technician,1,married,2663.33,6924.67,1,Desconocido,12,3.0,3,full time,3,6.0,2,3.0,6,3,3,2663.33,1995,31960.0,desconocido,True
549,45,No,non-travel,290.0,desconocido,2,1,life sciences,1,550,1,False,36.3,4,1,research scientist,4,married,,6090.75,1,Desconocido,13,3.0,4,part time,1,10.0,5,3.0,10,7,7,,1979,28111.13,desconocido,True
550,32,No,travel_rarely,556.3,research & development,11,2,desconocido,1,551,3,True,69.5,3,2,healthcare representative,1,married,4492.84,11681.39,1,Yes,12,,4,part time,0,6.0,2,2.0,6,0,1,4492.84,1992,53914.11,healthcare representative  -  research & development,False
551,27,No,non-travel,290.0,research & development,4,2,life sciences,1,552,3,True,36.3,3,1,research scientist,4,desconocido,2342.59,6090.75,1,Yes,20,4.0,2,part time,0,,2,2.0,8,2,2,2342.59,1997,28111.13,research scientist  -  research & development,True
552,48,No,travel_rarely,352.9,desconocido,1,3,desconocido,1,553,1,True,44.1,3,1,research scientist,4,desconocido,2850.0,7410.0,7,No,12,3.0,3,full time,1,17.0,2,2.0,6,1,2,2850.0,1976,34200.0,desconocido,True
553,38,No,non-travel,290.0,research & development,5,2,desconocido,1,554,3,True,36.3,4,1,laboratory technician,3,single,2342.59,6090.75,0,No,14,3.0,1,part time,0,7.0,2,1.0,6,1,3,2342.59,1986,28111.13,laboratory technician  -  research & development,True
554,33,No,non-travel,421.7,desconocido,1,4,desconocido,1,555,4,True,52.7,3,2,research scientist,1,married,3405.83,8855.17,4,Desconocido,14,3.0,2,full time,1,9.0,3,2.0,6,1,2,3405.83,1991,,desconocido,True
555,33,No,non-travel,556.3,desconocido,2,3,medical,1,556,4,True,69.5,3,2,research scientist,2,divorced,4492.84,11681.39,0,No,13,3.0,3,part time,2,10.0,4,2.0,9,1,6,4492.84,1991,53914.11,desconocido,False
556,34,No,non-travel,553.8,desconocido,16,3,life sciences,1,557,3,False,69.2,3,2,sales executive,4,desconocido,,11630.67,1,Yes,25,4.0,3,part time,1,7.0,2,3.0,6,1,2,,1990,53680.0,desconocido,True
